codigo,codigo_dpto,codigo_mun,dpto,mun,metota,mesesc,pmesesc,meserr,centota,carg,cargElectos,cargEmpatados,cargtota,votant,pvotant,absten,pabsten,votnul,pvotnul,votnma,pvotnma,FEDERICO_GUTIÉRREZ_vot,FEDERICO_GUTIÉRREZ_pvot,RODOLFO_HERNÁNDEZ_vot,RODOLFO_HERNÁNDEZ_pvot,GUSTAVO_PETRO_vot,GUSTAVO_PETRO_pvot,SERGIO_FAJARDO_vot,SERGIO_FAJARDO_pvot,JOHN MILTON_RODRÍGUEZ_vot,JOHN MILTON_RODRÍGUEZ_pvot,ENRIQUE_GÓMEZ MARTÍNEZ_vot,ENRIQUE_GÓMEZ MARTÍNEZ_pvot,LUIS_PÉREZ_vot,LUIS_PÉREZ_pvot,INGRID_BETANCOURT_vot,INGRID_BETANCOURT_pvot,cod2,dane
0700103,11,4,BOYACA,GUACAMAYAS,5,5,100,0,1605,0,0,0,0,868,54.08,737,45.91,8,0.92,3,0.34,273,31.85,449,52.39,102,11.90,23,2.68,1,0.11,2,0.23,0,0,0,0,07103,15317
3100061,19,16,VALLE,GUACARI,80,80,100,0,29399,0,0,0,0,16830,57.24,12569,42.75,319,1.89,31,0.18,3307,20.06,1472,8.93,10711,64.99,275,1.66,412,2.50,20,0.12,9,0.05,11,0.06,31061,76318
1100029,23,15,CAUCA,GUACHENE,42,42,100,0,14300,0,0,0,0,9854,68.9,4446,31.09,429,4.35,30,0.30,904,9.62,423,4.50,7519,80.03,145,1.54,175,1.86,38,0.40,5,0.05,6,0.06,11029,19300
1500112,14,9,CUNDINAMARCA,GUACHETA,25,25,100,0,9217,0,0,0,0,5560,60.32,3657,39.67,116,2.08,7,0.12,384,7.06,3878,71.32,867,15.94,144,2.64,21,0.38,12,0.22,1,0.01,7,0.12,15112,25317
2300052,10,9,NARIÑO,GUACHUCAL,41,41,100,0,14678,0,0,0,0,8843,60.24,5835,39.75,98,1.10,13,0.14,852,9.75,825,9.44,6794,77.80,108,1.23,10,0.11,14,0.16,2,0.02,7,0.08,23052,52317
0100140,17,8,ANTIOQUIA,GUADALUPE,17,17,100,0,5848,0,0,0,0,2225,38.04,3623,61.95,46,2.06,12,0.53,950,43.83,458,21.13,603,27.82,82,3.78,16,0.73,3,0.13,2,0.09,2,0.09,01140,5315
1900040,17,13,HUILA,GUADALUPE,36,36,100,0,13864,0,0,0,0,7408,53.43,6456,46.56,89,1.20,12,0.16,826,11.30,4227,57.84,1988,27.20,104,1.42,50,0.68,8,0.10,3,0.04,5,0.06,19040,41319
2700097,12,8,SANTANDER,GUADALUPE,14,14,100,0,4345,0,0,0,0,2897,66.67,1448,33.32,11,0.37,4,0.13,450,15.61,2158,74.87,219,7.59,13,0.45,19,0.65,4,0.13,1,0.03,0,0,27097,68320
1500115,20,17,CUNDINAMARCA,GUADUAS,64,64,100,0,22610,0,0,0,0,13395,59.24,9215,40.75,145,1.08,28,0.20,2171,16.41,7345,55.55,2995,22.65,307,2.32,195,1.47,25,0.18,3,0.02,3,0.02,15115,25320
2300055,16,9,NARIÑO,GUAITARILLA,33,33,100,0,11104,0,0,0,0,5885,52.99,5219,47.00,67,1.13,8,0.13,609,10.48,552,9.50,4463,76.81,82,1.41,22,0.37,14,0.24,1,0.01,4,0.06,23055,52320
